date,rate_new,rate_old,delta_bp,direction,n_chars,n_words,signal_sentence,url
2022-06-10,9.5,11.0,-150,down,7000,910,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=10062022_133000key.htm
2022-07-22,8.0,9.5,-150,down,9047,1149,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=22072022_133000key.htm
2022-09-16,7.5,8.0,-50,down,8439,1061,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=16092022_133000key.htm
2022-10-28,7.5,7.5,0,hold,7987,1034,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=28102022_133000key.htm
2022-12-16,7.5,7.5,0,hold,7096,894,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=16122022_133000key.htm
2023-02-10,7.5,7.5,0,hold,7484,959,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=10022023_133000key.htm
2023-03-17,7.5,7.5,0,hold,7250,927,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной переcтройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=17032023_133000key.htm
2023-04-28,7.5,7.5,0,hold,8603,1116,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=28042023_133000key.htm
2023-06-09,7.5,7.5,0,hold,7955,1019,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=09062023_133024key.htm
2023-07-21,8.5,7.5,100,up,7725,998,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=21072023_133000key.htm
