date,direction_actual,delta_bp,rate_new,n_fg_candidates,modality,modality_weight,direction_signal,level_stance,direction_withheld,agent_explicit,impersonal,passive,hedge_count,hedges,cond_count,conditionals,nominalization_ratio,finite_verbs,verbal_nouns,commitment,hardness_v2,stance,n_words,signal_core
2021-12-17,up,100,8.5,4,possibility,0.55,up,none,0,1,0,0,0,,3,При развитии ситуации|в соответствии с базовым прогноз|с учетом,0.8,1,4,0.349,0.349,0.244,1016,При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейшего повышения ключевой ставки на ближайших заседаниях.
2022-02-11,up,100,9.5,4,possibility,0.55,up,none,0,1,0,0,0,,3,При развитии ситуации|в соответствии с базовым прогноз|с учетом,0.8,1,4,0.349,0.349,0.244,1104,При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейшего повышения ключевой ставки на ближайших заседаниях.
2022-02-28,up,1050,20.0,1,intention_generic,0.25,none,none,1,1,0,0,0,,2,исходя из оценк|с учетом,0.333,2,1,0.19,0.0,0.0,95,"Банк России будет принимать дальнейшие решения по ключевой ставке исходя из оценки рисков со стороны внешних и внутренних условий и реакции на них финансовых рынков и с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте."
2022-04-08,down,-300,17.0,1,possibility,0.55,down,none,0,1,0,0,0,,2,исходя из оценк|с учетом,0.625,3,5,0.384,-0.384,-0.269,178,"Банк России будет принимать дальнейшие решения по ключевой ставке исходя из оценки рисков со стороны внешних и внутренних условий, реакции на них финансовых рынков и с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте и допускает возможность продолжения снижения ключевой ставки на ближайших заседаниях."
2022-04-29,down,-300,14.0,2,intention_generic,0.25,none,none,1,1,0,0,0,,3,с учетом|При развитии ситуации|в соответствии с базовым прогноз,0.333,2,1,0.172,0.0,0.0,824,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков."
2022-05-26,down,-300,11.0,1,possibility,0.55,down,none,0,1,0,0,0,,2,с учетом|с учетом,0.571,3,4,0.417,-0.417,-0.292,189,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков, и допускает возможность снижения ключевой ставки на ближайших заседаниях."
2022-06-10,down,-150,9.5,4,delayed_evaluation,0.35,down,none,0,1,0,0,0,,0,,0.6,2,3,0.402,-0.402,-0.281,910,Банк России будет оценивать целесообразность снижения ключевой ставки на ближайших заседаниях.
2022-07-22,down,-150,8.0,4,delayed_evaluation,0.35,down,none,0,1,0,0,0,,0,,0.5,2,2,0.402,-0.402,-0.281,1149,Банк России будет оценивать целесообразность снижения ключевой ставки во втором полугодии 2022 года.
2022-09-16,down,-50,7.5,2,intention_generic,0.25,none,none,1,1,0,0,0,,1,с учетом,0.333,2,1,0.207,0.0,0.0,1061,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков."
2022-10-28,hold,0,7.5,2,intention_generic,0.25,none,none,1,1,0,0,0,,1,с учетом,0.333,2,1,0.207,0.0,0.0,1034,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков."
